seller_id,seller_zip_code_prefix,seller_city,seller_state,seller_company_name,seller_email,region,registration_date
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,Chavez-Torres,starkpaul@gmail.com,Southeast,5/2/2017 16:12
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,"Simpson, Ruiz and Klein",zthomas@yahoo.com,Southeast,3/25/2017 9:00
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,Gordon Ltd,raymond87@gmail.com,Southeast,7/27/2018 12:20
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,Welch PLC,reidmelissa@hotmail.com,Southeast,7/31/2018 0:26
51a04a8a6bdcb23deccc82b0b80742cf,12914,Braganca Paulista,SP,Williams-Garcia,devin51@yahoo.com,Southeast,11/11/2017 12:04
c240c4061717ac1806ae6ee72be3533b,20920,Rio De Janeiro,RJ,"Avila, Ramirez and Allen",butlermichelle@yahoo.com,Southeast,5/5/2018 17:40
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,Gordon-Barrera,hernandezerik@gmail.com,Northeast,2/1/2017 18:51
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,"Campbell, Torres and Torres",williamschristopher@hotmail.com,Southeast,9/19/2017 17:15
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,Hanson Ltd,dianawilson@hotmail.com,Southeast,6/16/2018 11:51
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,"Taylor, Williams and Roberts",lorrainedavis@gmail.com,South,1/4/2017 13:29
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,Chandler-House,monicagomez@yahoo.com,Central-West,2/4/2018 22:52
a7a9b880c49781da66651ccf4ba9ac38,13530,ITIRAPINA,sp,Brown-Parks,debbie21@gmail.com,Southeast,5/13/2018 16:16
8bd0f31cf0a614c658f6763bd02dea69,1222, sao paulo ,sp,Werner LLC,riveratroy@yahoo.com,Southeast,1/15/2017 10:55
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,"Richardson, Sutton and Ball",jbaker@hotmail.com,Southeast,7/30/2018 12:05
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,Tubarao,sc,"Woods, Miller and Davis",johnsonmelinda@yahoo.com,South,3/30/2018 10:44
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,Washington and Sons,alexander60@hotmail.com,Northeast,4/25/2018 12:23
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,Knapp Inc,fgrant@yahoo.com,South,7/22/2017 1:53
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,Evans Group,ywilliams@hotmail.com,Central-West,8/17/2017 19:32
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,Kaufman-Sanchez,jeffrey36@hotmail.com,Northeast,10/3/2017 16:05
f9ec7093df3a7b346b7bcf7864069ca3,5138,Sao Paulo,sp,Rollins-Wood,melissa15@hotmail.com,Southeast,7/2/2018 6:46
4e6015589b781adaa5ce7f1892d06bb1,11440, guaruja ,sp,"Stokes, Underwood and Potter",lkelly@gmail.com,Southeast,10/9/2017 19:42
4cf490a58259286ada5ba8525ba9e84a,14910,TABATINGA,sp,David PLC,frankcarter@yahoo.com,Southeast,3/11/2017 13:06
f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,sp,"Chandler, Williams and Green",jessicagonzalez@yahoo.com,Southeast,10/5/2016 10:55
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,sp,"Schmidt, Carroll and Barton",ndavenport@hotmail.com,Southeast,2/13/2018 17:17
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,Brown PLC,brandon25@yahoo.com,South,5/26/2017 19:02
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,mg,Haynes-Martin,hodgespatricia@hotmail.com,Southeast,1/11/2017 1:16
2078fe5066350e7d220c0ad3a3bbc6c1,86707,ARAPONGAS,pr,"Mcmillan, Cochran and Cisneros",trevordeleon@hotmail.com,South,3/25/2018 15:49
116ccb1a1604bc88e4d234a8c23f33de,9850,Sao@Bernardo@Do@Campo,SP,Bishop-Cummings,john24@hotmail.com,Southeast,11/6/2017 12:05
430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,"Hardy, Wolf and Wilson",chris49@gmail.com,Southeast,1/6/2018 23:49
406822777a0b9eb5c50e442dd4cd3ec5,18500, tatui ,sp,Griffith-Deleon,heather43@yahoo.com,Southeast,10/27/2017 16:01
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,pr,Castillo-Barnes,amandaflores@hotmail.com,South,5/18/2017 11:56
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,Sao Paulo,SP,"White, Allen and Horne",dryan@gmail.com,Southeast,6/2/2018 19:53
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,sc,Perez LLC,zavalamichelle@hotmail.com,South,1/30/2018 0:54
